Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
10_R1	(1.0, 68.53592244964567)	(2.0, 13.201072462702879)	(3.0, 4.044609714056421)	(4.0, 1.8039179474927336)	(5.0, 1.0884483925048383)	(6.0, 0.7331074421520104)	(7.0, 0.4933163262900448)	(8.0, 0.36039242565449114)	(9.0, 0.30810879567528154)	('>10', 2.9866293180864174)	('>50', 0.7006132529694884)	('>100', 1.081004415281852)	('>500', 0.45399348635329595)	('>1k', 1.4578270289076425)	('>5k', 0.7963634383002602)	('>10k+', 1.954673103926631)
10_R1_001	(1.0, 66.62853952528641)	(2.0, 12.687563453681477)	(3.0, 4.227366940525842)	(4.0, 1.960694935738663)	(5.0, 1.190162796558648)	(6.0, 0.8203135604421627)	(7.0, 0.6020140055110468)	(8.0, 0.4595062392064039)	(9.0, 0.3740231089462358)	('>10', 3.5497401256301484)	('>50', 0.9071459825688478)	('>100', 1.430689227915145)	('>500', 0.46628984506068216)	('>1k', 1.7009017631401426)	('>5k', 0.6612955018364712)	('>10k+', 2.3337529879515757)
10_R2	(1.0, 68.0315511161097)	(2.0, 13.425807488205427)	(3.0, 4.060355061709205)	(4.0, 1.862148404783023)	(5.0, 1.0444370905769063)	(6.0, 0.701757904651728)	(7.0, 0.4944333889425217)	(8.0, 0.3889537822736821)	(9.0, 0.3108761656155347)	('>10', 2.8713304708947076)	('>50', 0.7422657872215679)	('>100', 1.0469449035229141)	('>500', 0.4840215586295888)	('>1k', 1.3664273212960776)	('>5k', 0.6142591608701637)	('>10k+', 2.5544303946972358)
10_R2_001	(1.0, 66.14425563342866)	(2.0, 12.859059216679182)	(3.0, 4.250326490962619)	(4.0, 1.9755308875980895)	(5.0, 1.2358814426929778)	(6.0, 0.7892807339906032)	(7.0, 0.6239960104930597)	(8.0, 0.4437926345271061)	(9.0, 0.41208855440280895)	('>10', 3.4828902005931224)	('>50', 0.9204916540541483)	('>100', 1.416686000649769)	('>500', 0.4567396804126936)	('>1k', 1.6204778841549652)	('>5k', 0.5939530059464576)	('>10k+', 2.7745499694136937)
11_R1	(1.0, 56.55780228502901)	(2.0, 13.04831648764672)	(3.0, 5.0752907733732995)	(4.0, 2.666111850547682)	(5.0, 1.740940282611818)	(6.0, 1.1983682611832003)	(7.0, 0.9624118524176748)	(8.0, 0.729617489187347)	(9.0, 0.5847577536215972)	('>10', 6.06864433366775)	('>50', 1.4772477560143196)	('>100', 2.1345626962053514)	('>500', 0.6740541759339773)	('>1k', 2.2253876512680266)	('>5k', 0.8520830827811925)	('>10k+', 4.004403268511214)
11_R1_001	(1.0, 52.25892083301268)	(2.0, 12.600842644905782)	(3.0, 5.135925656281475)	(4.0, 2.8766544541298447)	(5.0, 1.9653467878777808)	(6.0, 1.3956327671482214)	(7.0, 1.1073514686105845)	(8.0, 0.9056988987885293)	(9.0, 0.7133937152354004)	('>10', 7.3388597996071585)	('>50', 1.8268830501605413)	('>100', 2.781011237798906)	('>500', 0.8126473397267653)	('>1k', 2.1745816729641225)	('>5k', 1.5459655809765904)	('>10k+', 4.560284092775586)
11_R2	(1.0, 56.16989642044632)	(2.0, 13.145725507255113)	(3.0, 5.065794936093347)	(4.0, 2.6628184585502117)	(5.0, 1.7031527403221491)	(6.0, 1.2560676764891237)	(7.0, 0.9380723201015146)	(8.0, 0.7753735658928401)	(9.0, 0.6200027480956091)	('>10', 5.987954626053683)	('>50', 1.4762720187321519)	('>100', 2.1023429969358856)	('>500', 0.7117822793567864)	('>1k', 2.194139246529218)	('>5k', 0.8053945022700152)	('>10k+', 4.385209956876075)
11_R2_001	(1.0, 51.82526020939628)	(2.0, 12.802519651513421)	(3.0, 5.100840103939152)	(4.0, 2.8513641495862085)	(5.0, 1.9148319032006473)	(6.0, 1.4193880112404709)	(7.0, 1.1511434842080888)	(8.0, 0.9174427581727077)	(9.0, 0.7193837016798852)	('>10', 7.218229894553472)	('>50', 1.8642071466078234)	('>100', 2.8642542275500986)	('>500', 0.8156780734675703)	('>1k', 2.1840911585375498)	('>5k', 1.5041429919876497)	('>10k+', 4.847222534358976)
12_R1	(1.0, 51.03031628863866)	(2.0, 13.00692765968973)	(3.0, 5.279151627411019)	(4.0, 2.9857729180317376)	(5.0, 1.9356893585118158)	(6.0, 1.3919015783509545)	(7.0, 1.1462179661045568)	(8.0, 0.8464845292809324)	(9.0, 0.7460996019915587)	('>10', 7.415229476370129)	('>50', 1.989267208378034)	('>100', 2.8646220874156945)	('>500', 0.8150618751226302)	('>1k', 2.3482722834079364)	('>5k', 1.1360631185047718)	('>10k+', 5.062922422789714)
12_R1_001	(1.0, 48.267342375793326)	(2.0, 12.235088635522953)	(3.0, 5.095861322467697)	(4.0, 3.063405712485411)	(5.0, 2.0980240439436484)	(6.0, 1.4725034968617239)	(7.0, 1.1924375435260812)	(8.0, 1.0173606839370521)	(9.0, 0.7897678720832824)	('>10', 8.229234738083443)	('>50', 2.2657876944197564)	('>100', 3.3354167918622992)	('>500', 0.9413193458761124)	('>1k', 2.4400103473746126)	('>5k', 1.4920416231507903)	('>10k+', 6.064397772611843)
