Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
1	55188691	23072067	0	0	0	0	0	0	0	7426431	0	0	20743186	0	3947007	41.80578771110915
10	51450396	17077572	0	0	0	0	0	0	0	5124480	0	0	26411806	0	2836538	33.19230429246842
11	54386551	25504771	0	0	0	0	0	0	0	6990016	0	0	17845102	0	4046662	46.89536389244466
12	54163787	27564228	0	0	0	0	0	0	0	7086147	0	0	15297070	0	4216342	50.89051103461433
2	46530353	23156807	0	0	0	0	0	0	0	6262724	0	0	13006476	0	4104346	49.76709933836092
3	52049638	26003419	0	0	0	0	0	0	0	6778963	0	0	15137815	0	4129441	49.958885400893664
4	51229324	24355703	0	0	0	0	0	0	0	6342209	0	0	16826370	0	3705042	47.54250319602109
5	51455623	26544689	0	0	0	0	0	0	0	7788385	0	0	12706416	0	4416133	51.58753786733862
6	52871150	26901163	0	0	0	0	0	0	0	7099296	0	0	14584445	0	4286246	50.88060880082994
7	45494926	20815250	0	0	0	0	0	0	0	6011821	0	0	15423029	0	3244826	45.752904400811644
8	54104969	26622817	0	0	0	0	0	0	0	6462788	0	0	16806379	0	4212985	49.20586314354971
9	48558670	22411039	0	0	0	0	0	0	0	5286577	0	0	17730424	0	3130630	46.152497586939674
